Yes Bank,96.05,8.40,9.58
Bajaj Finance,"3,264.60",218.10,7.16
Bajaj Finserv,"7,233.00",450.70,6.65
Eicher Motors,"17,186.55",749.70,4.56
Hero Motocorp,"2,467.30",80.80,3.39
Yes Bank,96.10,8.45,9.64
Bajaj Finance,"3,265.85",219.45,7.20
Hero Motocorp,"2,468.05",81.95,3.43
M&M,564.80,16.90,3.08
Bajaj Auto,"2,619.40",74.25,2.92
Vedanta,164.10,-7.35,-4.29
IOC,141.80,-4.85,-3.31
Reliance,"1,213.80",-17.70,-1.44
Tech Mahindra,643.50,-9.00,-1.38
ONGC,141.90,-1.95,-1.36
Vedanta,164.05,-7.30,-4.26
Reliance,"1,214.10",-18.20,-1.48
ONGC,141.85,-2.00,-1.39
HDFC,"2,168.50",-27.20,-1.24
Bharti Airtel,334.80,-4.15,-1.22
